timestamp,observatory,observatory_name,obs_ra,obs_dec,magnitude,reference
2025-12-17 00:09:07.776000,L16,"Stardreams Observatory, Valenii de Munte",105626.71,+06 13 01.4,,MPEC Y51
2025-12-17 00:39:28.224000,L16,"Stardreams Observatory, Valenii de Munte",105620.91,+06 13 31.3,,MPEC Y51
2025-12-17 01:09:51.264000,L16,"Stardreams Observatory, Valenii de Munte",105615.11,+06 14 00.9,,MPEC Y51
2025-12-17 01:45:20.505600,Z92,"Almalex Observatory, Leeds",105608.38,+06 14 35.2,,MPEC Y151
2025-12-17 01:56:31.488000,Z92,"Almalex Observatory, Leeds",105606.23,+06 14 45.9,,MPEC Y151
2025-12-17 02:06:59.097600,Z92,"Almalex Observatory, Leeds",105604.24,+06 14 56.5,,MPEC Y151
2025-12-17 03:47:21.004800,970,Chelmsford,105545.043,+06 16 35.00,,MPEC Y151
2025-12-17 04:06:25.027200,970,Chelmsford,105541.414,+06 16 53.62,,MPEC Y151
2025-12-17 04:26:36.009600,970,Chelmsford,105537.526,+06 17 13.56,,MPEC Y151
2025-12-17 05:10:43.392000,Y87,"Trevinca Skies-Amalthea, Trevinca",105529.07,+06 17 57.6,,MPEC Y51
2025-12-17 05:17:57.984000,Y87,"Trevinca Skies-Amalthea, Trevinca",105527.68,+06 18 04.7,,MPEC Y51
2025-12-17 05:25:13.440000,Y87,"Trevinca Skies-Amalthea, Trevinca",105526.30,+06 18 11.8,,MPEC Y51
2025-12-17 05:49:17.184000,Y88,"ASERO, Valdin",105521.72,+06 18 35.0,,MPEC Y51
2025-12-17 05:52:18.624000,Y88,"ASERO, Valdin",105521.15,+06 18 38.0,,MPEC Y51
2025-12-17 05:55:50.304000,Y88,"ASERO, Valdin",105520.47,+06 18 41.6,,MPEC Y51
2025-12-17 09:52:20.640000,H78,"University of Narino Observatory, Pasto",105435.42,+06 22 37.4,,MPEC Y51
2025-12-17 09:52:40.512000,H78,"University of Narino Observatory, Pasto",105435.34,+06 22 37.8,,MPEC Y51
2025-12-17 09:54:57.024000,H78,"University of Narino Observatory, Pasto",105434.91,+06 22 40.0,,MPEC Y51
2025-12-17 09:56:13.056000,H78,"University of Narino Observatory, Pasto",105434.65,+06 22 41.5,,MPEC Y51
2025-12-17 10:38:51.360000,U94,"iTelescope Observatory, Beryl Junction",105426.60,+06 23 19.3,,MPEC Y51
2025-12-17 10:46:24.960000,U94,"iTelescope Observatory, Beryl Junction",105425.11,+06 23 27.0,,MPEC Y51
