timestamp,observatory
2025-12-17 00:09:07.776000,L16
2025-12-17 00:39:28.224000,L16
2025-12-17 01:09:51.264000,L16
2025-12-17 01:45:20.505600,Z92
2025-12-17 01:56:31.488000,Z92
2025-12-17 02:06:59.097600,Z92
2025-12-17 03:47:21.004800,970
2025-12-17 04:06:25.027200,970
2025-12-17 04:26:36.009600,970
2025-12-17 05:10:43.392000,Y87
2025-12-17 05:17:57.984000,Y87
2025-12-17 05:25:13.440000,Y87
2025-12-17 05:49:17.184000,Y88
2025-12-17 05:52:18.624000,Y88
2025-12-17 05:55:50.304000,Y88
2025-12-17 09:52:20.640000,H78
2025-12-17 09:52:40.512000,H78
2025-12-17 09:54:57.024000,H78
2025-12-17 09:56:13.056000,H78
2025-12-17 10:38:51.360000,U94
2025-12-17 10:46:24.960000,U94
2025-12-17 10:50:40.704000,U94
2025-12-17 10:56:07.987200,703
2025-12-17 10:58:10.848000,U94
2025-12-17 10:59:26.966400,703
2025-12-17 11:02:45.945600,703
2025-12-17 11:06:05.011200,703
2025-12-17 18:45:10.022400,Q21
2025-12-17 18:50:13.027200,Q21
2025-12-17 18:55:28.992000,Q21
2025-12-17 22:37:50.880000,152
2025-12-17 22:41:38.112000,152
2025-12-17 22:45:44.352000,152
2025-12-17 23:33:11.318400,M57
2025-12-17 23:44:20.227200,M57
2025-12-17 23:54:20.102400,M57
2025-12-18 00:35:55.507200,M09
2025-12-18 00:42:00.028800,C23
2025-12-18 00:45:57.628800,M09
2025-12-18 00:55:37.718400,M09
2025-12-18 01:03:34.041600,C23
2025-12-18 01:24:39.974400,C23
2025-12-18 01:28:52.003200,G05
2025-12-18 01:37:05.001600,G05
2025-12-18 01:43:14.966400,G05
2025-12-18 01:49:27.004800,C23
2025-12-18 01:55:34.032000,G05
2025-12-18 01:57:38.016000,G05
2025-12-18 02:14:02.976000,G05
2025-12-18 02:40:12.604800,L92
2025-12-18 02:51:38.966400,213
2025-12-18 03:16:54.076800,L92
2025-12-18 03:55:39.792000,L92
2025-12-18 04:14:40.012800,213
2025-12-18 05:37:10.992000,213
2025-12-18 08:08:24.028800,X08
2025-12-18 08:08:34.051200,X08
2025-12-18 08:08:43.987200,X08
2025-12-18 10:12:48.038400,U76
2025-12-18 11:15:29.980800,U76
2025-12-18 12:46:18.969600,U76
2025-12-18 15:28:43.680000,Q23
2025-12-18 15:40:38.208000,Q23
2025-12-18 15:53:02.112000,Q23
2025-12-18 17:06:20.908800,900
2025-12-18 17:13:08.371200,900
2025-12-18 17:19:55.747200,900
2025-12-18 18:53:42.979200,Q21
2025-12-18 18:58:45.984000,Q21
2025-12-18 19:03:50.025600,Q21
2025-12-18 19:09:04.608000,O56
2025-12-18 20:06:34.560000,O56
2025-12-18 21:03:54.144000,O56
2025-12-18 21:54:45.792000,C94
2025-12-18 22:09:56.016000,C40
2025-12-18 22:23:38.976000,C40
2025-12-18 22:26:30.912000,C94
2025-12-18 22:40:23.980800,C40
2025-12-18 22:42:54.144000,C94
2025-12-19 00:10:28.992000,B67
2025-12-19 00:12:51.033600,B67
2025-12-19 00:15:12.038400,B67
2025-12-19 00:37:56.035200,D69
2025-12-19 01:43:00.019200,D69
2025-12-19 01:54:35.020800,213
2025-12-19 02:09:32.976000,B74
2025-12-19 02:12:33.984000,B74
2025-12-19 02:30:45.993600,B74
2025-12-19 02:37:21.014400,D69
2025-12-19 03:02:36.038400,I81
2025-12-19 03:06:38.995200,I81
2025-12-19 03:10:42.988800,I81
2025-12-19 03:23:13.977600,213
2025-12-19 03:24:05.212800,L85
2025-12-19 03:51:05.212800,L85
2025-12-19 04:07:19.804800,215
2025-12-19 04:12:16.502400,215
2025-12-19 04:15:46.195200,L85
2025-12-19 04:17:13.286400,215
2025-12-19 04:51:29.001600,213
2025-12-19 05:18:01.180800,J13
2025-12-19 05:32:22.329600,J13
2025-12-19 10:46:24.960000,U76
2025-12-19 11:48:19.987200,U76
2025-12-19 12:08:25.958400,V16
2025-12-19 12:14:01.017600,V16
2025-12-19 12:21:02.995200,V16
2025-12-19 12:28:09.984000,V16
2025-12-19 12:53:00.038400,U76
2025-12-19 12:57:50.688000,290
2025-12-19 12:59:49.920000,290
2025-12-19 13:01:00.768000,290
2025-12-19 13:08:00.672000,290
2025-12-19 13:08:32.640000,290
2025-12-19 13:09:06.336000,290
2025-12-19 13:09:38.304000,290
2025-12-19 13:10:11.136000,290
2025-12-19 23:37:38.035200,C23
2025-12-19 23:47:20.025600,C23
2025-12-19 23:58:06.038400,C23
2025-12-20 00:08:53.001600,C23
2025-12-20 00:19:39.964800,C23
2025-12-20 01:30:59.270400,Z92
2025-12-20 01:46:10.876800,Z92
2025-12-20 02:00:31.420800,Z92
2025-12-20 08:48:40.982400,W50
2025-12-20 08:49:25.996800,W50
2025-12-20 08:50:23.971200,W50
2025-12-20 08:51:08.035200,W50
2025-12-20 08:51:52.963200,W50
2025-12-20 08:52:51.024000,W50
2025-12-20 08:53:36.038400,W50
2025-12-20 08:54:20.016000,W50
2025-12-20 08:55:17.990400,W50
2025-12-20 08:56:03.004800,W50
2025-12-20 08:56:46.982400,W50
2025-12-20 08:57:44.956800,W50
2025-12-20 08:58:29.971200,W50
2025-12-20 08:59:14.035200,W50
2025-12-20 09:02:48.998400,W50
2025-12-20 09:03:34.012800,W50
2025-12-20 09:04:19.977600,W50
2025-12-20 09:08:26.995200,W50
2025-12-20 09:09:20.995200,W50
2025-12-20 09:10:14.995200,W50
2025-12-20 09:11:29.990400,W50
2025-12-20 09:12:23.990400,W50
2025-12-20 09:13:17.040000,W50
2025-12-20 09:17:11.961600,W50
2025-12-20 09:18:31.968000,W50
2025-12-20 09:19:25.968000,W50
2025-12-20 09:23:22.012800,W50
2025-12-21 03:12:55.872000,C82
2025-12-21 03:14:46.464000,C82
2025-12-21 03:16:55.200000,C82
2025-12-21 03:22:26.976000,C82
2025-12-21 03:29:51.072000,C82
2025-12-21 03:59:29.961600,D68
2025-12-21 04:16:00.969600,D68
2025-12-21 04:34:10.992000,D68
2025-12-21 08:38:20.976000,V21
2025-12-21 08:59:25.958400,V21
2025-12-21 09:20:26.966400,V21
2025-12-21 09:41:29.011200,V21
2025-12-21 10:02:28.982400,V21
2025-12-21 10:03:21.945600,703
2025-12-21 10:06:39.283200,703
2025-12-21 10:09:56.707200,703
2025-12-21 10:13:14.131200,703
2025-12-21 20:13:45.004800,Q14
2025-12-21 20:22:59.001600,Q14
2025-12-21 23:16:18.969600,B72
2025-12-22 00:39:32.025600,B72
2025-12-22 01:11:21.033600,B72
2025-12-22 01:26:53.030400,B72
2025-12-22 01:44:15.014400,B72
2025-12-22 09:49:22.656000,U94
2025-12-22 09:55:36.768000,U94
2025-12-22 10:01:50.016000,U94
2025-12-22 10:08:04.992000,U94
2025-12-22 16:44:22.963200,Q21
2025-12-22 16:49:27.004800,Q21
2025-12-22 16:54:30.960000,Q21
2025-12-22 16:59:33.964800,Q21
2025-12-22 21:41:06.979200,M73
2025-12-22 21:48:32.025600,M73
2025-12-22 21:56:21.004800,M73
2025-12-22 22:03:24.019200,M73
2025-12-22 22:10:29.971200,M73
2025-12-23 02:24:07.862400,R17
2025-12-23 02:44:30.854400,R17
2025-12-23 03:04:53.587200,R17
2025-12-23 03:25:15.888000,R17
